date,amount,description,category
2024-07-06,1377448,konsultan,Bisnis & Profesional
2024-07-06,839413,tiket gunung,Travel & Liburan
2024-07-06,1583376,handuk mandi,Perumahan & Akomodasi
2024-07-06,9374,alat rumah tangga,Lain-lain
2024-07-06,205349,cicilan kecil,Lain-lain
2024-07-06,1897204,personal trainer,Kesehatan & Kebugaran
2024-07-07,998729,tabungan haji,Tabungan & Investasi
2024-07-08,1553966,suplemen,Kesehatan & Kebugaran
2024-07-08,779691,map plastik,Pendidikan
2024-07-08,536283,bayar wifi,Perumahan & Akomodasi
2024-07-08,548828,handuk mandi,Perumahan & Akomodasi
2024-07-08,830851,beli emas,Tabungan & Investasi
2024-07-09,147524,handuk mandi,Perumahan & Akomodasi
2024-07-09,816571,leasing mobil,Utang & Cicilan
2024-07-09,1390529,bonus,Bisnis & Profesional
2024-07-09,1131966,WOM finance,Utang & Cicilan
2024-07-09,20581,investasi jangka pendek,Tabungan & Investasi
2024-07-09,23588,bisnis sampingan,Tabungan & Investasi
2024-07-10,1173082,BPJS,Tabungan & Investasi
2024-07-10,557171,cicilan rumah,Utang & Cicilan
2024-07-10,255303,sarung tangan,Transportasi
2024-07-10,1818184,hadiah graduation,Donasi & Hadiah
2024-07-10,451594,bakti sosial,Donasi & Hadiah
2024-07-11,1002466,kertas foto,Pendidikan
2024-07-11,653131,kredit plus,Utang & Cicilan
2024-07-11,1920607,bunga pinjaman,Utang & Cicilan
2024-07-11,324080,beli buku pelajaran,Pendidikan
2024-07-11,1451306,dokumentasi,Travel & Liburan
2024-07-11,694630,cicilan hp,Utang & Cicilan
2024-07-11,1980386,rendang,Makanan & Minuman
2024-07-11,1206330,campur-campur,Lain-lain
2024-07-12,1204146,pengeluaran spontan,Lain-lain
2024-07-13,298983,travel adapter,Travel & Liburan
2024-07-13,1491430,beli sepatu,Belanja & Hiburan
2024-07-13,197253,vacuum cleaner,Perumahan & Akomodasi
2024-07-13,1571319,campur-campur,Lain-lain
2024-07-13,1519223,tabungan rumah,Tabungan & Investasi
2024-07-13,1444313,pulpen,Pendidikan
2024-07-13,497539,angsuran bank,Utang & Cicilan
2024-07-13,1145054,hadiah natal,Donasi & Hadiah
2024-07-13,839750,billiard,Belanja & Hiburan
2024-07-13,409944,taksi online,Transportasi
2024-07-13,1964426,hadiah idul adha,Donasi & Hadiah
2024-07-13,1812021,makan siang,Makanan & Minuman
2024-07-13,675339,asuransi kendaraan,Tabungan & Investasi
2024-07-13,1502702,pengeluaran tak terduga,Lain-lain
2024-07-13,285347,beli sepatu,Belanja & Hiburan
2024-07-14,1515106,beli lampu,Perumahan & Akomodasi
2024-07-14,1570088,kerja sosial,Donasi & Hadiah
2024-07-14,1813035,koran,Belanja & Hiburan
2024-07-14,662860,gula pasir,Makanan & Minuman
2024-07-14,795978,beli buah,Makanan & Minuman
2024-07-14,231001,uang saku,Lain-lain
2024-07-14,1885014,tiket konser,Belanja & Hiburan
2024-07-14,1619222,beli furniture,Perumahan & Akomodasi
2024-07-14,1945915,skincare,Kesehatan & Kebugaran
2024-07-15,1202499,bayar listrik,Perumahan & Akomodasi
2024-07-15,1895918,kaos kaki,Belanja & Hiburan
2024-07-15,1676524,teh botol,Makanan & Minuman
2024-07-15,1316216,sprei kasur,Perumahan & Akomodasi
2024-07-15,137480,fee,Bisnis & Profesional
2024-07-16,589272,MLM,Tabungan & Investasi
2024-07-16,1562934,sertifikasi,Pendidikan
2024-07-16,1800469,balancing,Transportasi
2024-07-16,177690,mouse komputer,Pendidikan
2024-07-16,526693,solo traveling,Travel & Liburan
2024-07-16,210495,tablet,Pendidikan
2024-07-16,30771,service charge,Perumahan & Akomodasi
2024-07-16,301814,rendang,Makanan & Minuman
2024-07-16,1187043,uang parkir,Lain-lain
2024-07-17,928999,printer,Pendidikan
2024-07-17,1191373,seminar bisnis,Bisnis & Profesional
2024-07-17,1622471,kost-kostan,Tabungan & Investasi
2024-07-18,810261,fax,Lain-lain
2024-07-18,1064980,tabungan rumah,Tabungan & Investasi
2024-07-18,1210666,cicilan AC,Utang & Cicilan
2024-07-18,1426277,tenda,Travel & Liburan
2024-07-18,470869,volunteer,Donasi & Hadiah
2024-07-18,1829225,beragam,Lain-lain
2024-07-19,289142,cicilan hp,Utang & Cicilan
2024-07-19,1955804,rontgen,Kesehatan & Kebugaran
2024-07-19,1547807,dokumentasi,Travel & Liburan
2024-07-20,151745,kalkulator,Pendidikan
2024-07-20,621935,keperluan mendadak,Lain-lain
2024-07-20,165353,snorkeling,Belanja & Hiburan
2024-07-20,1668157,bayar listrik,Perumahan & Akomodasi
2024-07-21,1147030,crypto,Tabungan & Investasi
2024-07-21,905837,mandiri finance,Utang & Cicilan
2024-07-21,1372864,cicilan AC,Utang & Cicilan
2024-07-21,464161,underwear,Belanja & Hiburan
2024-07-22,1475785,fotokopi,Lain-lain
2024-07-22,1732017,e-book,Belanja & Hiburan
2024-07-23,1962420,ikan segar,Makanan & Minuman
2024-07-23,603559,komik,Belanja & Hiburan
2024-07-23,1997438,uang parkir,Lain-lain
2024-07-23,427939,go-kart,Belanja & Hiburan
2024-07-23,159202,tanah,Tabungan & Investasi
2024-07-23,531940,asuransi jiwa,Tabungan & Investasi
2024-07-23,802657,bayar air,Perumahan & Akomodasi
2024-07-24,841747,receh,Lain-lain
2024-07-24,1843071,lampu motor,Transportasi
2024-07-24,377532,take over,Utang & Cicilan
2024-07-24,74355,teh botol,Makanan & Minuman
2024-07-24,585176,pilates,Kesehatan & Kebugaran
2024-07-24,314840,tablet,Pendidikan
2024-07-24,1651817,social media ads,Bisnis & Profesional
2024-07-24,1420802,alat tulis,Pendidikan
2024-07-25,1961693,tiket gunung,Travel & Liburan
2024-07-25,529460,pinjaman online,Utang & Cicilan
2024-07-25,1618169,cicilan kulkas,Utang & Cicilan
2024-07-25,172805,arcade games,Belanja & Hiburan
2024-07-25,96878,camping,Travel & Liburan
2024-07-26,751643,shampoo,Kesehatan & Kebugaran
2024-07-26,1448956,boarding pass,Transportasi
2024-07-26,376359,yoga class,Kesehatan & Kebugaran
2024-07-26,835262,biaya admin,Utang & Cicilan
2024-07-27,1630234,tabungan umroh,Tabungan & Investasi
2024-07-27,170822,course online,Pendidikan
2024-07-27,1756024,underwear,Belanja & Hiburan
2024-07-27,1138384,kereta bandara,Transportasi
2024-07-27,1541530,bantal guling,Perumahan & Akomodasi
2024-07-28,1162794,rumah investasi,Tabungan & Investasi
2024-07-28,505449,porter bandara,Transportasi
2024-07-28,504256,stok barang,Bisnis & Profesional
2024-07-28,369224,parkir motor,Transportasi
2024-07-28,168922,toner,Kesehatan & Kebugaran
2024-07-29,77748,adventure tour,Travel & Liburan
2024-07-29,392515,hadiah lebaran,Donasi & Hadiah
2024-07-29,1059382,hard disk,Pendidikan
2024-07-29,1532459,print tugas,Pendidikan
2024-07-29,1658272,dokumentasi,Travel & Liburan
2024-07-29,936616,pasta gigi,Kesehatan & Kebugaran
2024-07-29,1720252,karaoke,Belanja & Hiburan
2024-07-30,735438,tas travel,Travel & Liburan
2024-07-30,1200532,biaya gym,Kesehatan & Kebugaran
2024-07-30,616972,cuci motor,Transportasi
2024-07-30,863798,hiking gear,Belanja & Hiburan
2024-07-30,818890,jaket outdoor,Travel & Liburan
2024-07-30,1223509,promosi,Bisnis & Profesional
2024-07-30,189173,domain,Bisnis & Profesional
2024-07-31,1710095,hadiah idul adha,Donasi & Hadiah
2024-07-31,1030513,kurir,Lain-lain
2024-07-31,1582591,hadiah valentine,Donasi & Hadiah
2024-07-31,976708,refinancing,Utang & Cicilan
2024-07-31,698326,keperluan rumah,Lain-lain
2024-07-31,315915,beli pizza,Makanan & Minuman
2024-07-31,1306188,distributor,Bisnis & Profesional
2024-08-01,700665,lazismu,Donasi & Hadiah
2024-08-01,411258,beli buku,Belanja & Hiburan
2024-08-02,1476823,influencer,Bisnis & Profesional
2024-08-02,1748324,pelunasan,Utang & Cicilan
2024-08-02,740012,yoga class,Kesehatan & Kebugaran
2024-08-02,1288569,kebutuhan dadakan,Lain-lain
2024-08-02,677061,hal tak terduga,Lain-lain
2024-08-02,43022,resort,Travel & Liburan
2024-08-02,1727020,warung makan,Makanan & Minuman
2024-08-02,1086764,denda telat,Utang & Cicilan
2024-08-02,1470928,permen,Lain-lain
2024-08-03,216283,investasi jangka panjang,Tabungan & Investasi
2024-08-03,693824,mega finance,Utang & Cicilan
2024-08-03,508630,bowling,Belanja & Hiburan
2024-08-03,187937,bantuan tsunami,Donasi & Hadiah
2024-08-04,450910,donasi gereja,Donasi & Hadiah
2024-08-04,612014,rental motor,Transportasi
2024-08-04,1002196,cicilan kecil,Lain-lain
2024-08-04,1102368,masker wajah,Kesehatan & Kebugaran
2024-08-04,1000877,hosting,Bisnis & Profesional
2024-08-04,598397,pecel lele,Makanan & Minuman
2024-08-05,1257305,gaji,Bisnis & Profesional
2024-08-05,1016224,coating motor,Transportasi
2024-08-05,551552,gado-gado,Makanan & Minuman
2024-08-05,1490733,uang rokok,Lain-lain
2024-08-05,1108134,donasi bencana,Donasi & Hadiah
2024-08-05,128694,transjakarta,Transportasi
2024-08-05,592536,arcade games,Belanja & Hiburan
2024-08-06,1669583,tas travel,Travel & Liburan
2024-08-06,699296,konsultan,Bisnis & Profesional
2024-08-06,1757516,izin usaha,Bisnis & Profesional
2024-08-06,1162178,deterjen,Perumahan & Akomodasi
2024-08-06,683151,meja makan,Perumahan & Akomodasi
2024-08-06,1197948,rendang,Makanan & Minuman
2024-08-07,859797,dispenser air,Perumahan & Akomodasi
2024-08-07,1653531,gopro,Travel & Liburan
2024-08-07,1947270,tabungan rumah,Tabungan & Investasi
2024-08-07,1623001,beli buku pelajaran,Pendidikan
2024-08-07,1000550,adventure tour,Travel & Liburan
2024-08-08,199502,pelatihan,Pendidikan
2024-08-08,1867461,BPJS,Tabungan & Investasi
2024-08-08,882303,jaket,Belanja & Hiburan
2024-08-09,217284,guest house,Travel & Liburan
2024-08-09,586740,bantuan korban banjir,Donasi & Hadiah
2024-08-10,1547952,bakso,Makanan & Minuman
2024-08-10,1828418,bunga pinjaman,Utang & Cicilan
2024-08-10,1313974,suplemen,Kesehatan & Kebugaran
2024-08-10,658423,materai,Pendidikan
2024-08-10,260412,aksi cepat tanggap,Donasi & Hadiah
2024-08-10,1602737,cicilan kulkas,Utang & Cicilan
2024-08-11,1613301,biaya provisi,Utang & Cicilan
2024-08-11,1836096,sikat gigi,Kesehatan & Kebugaran
2024-08-11,787658,koper,Travel & Liburan
2024-08-11,1042492,property investment,Tabungan & Investasi
2024-08-11,388326,donasi pendidikan,Donasi & Hadiah
2024-08-11,625317,taxi bandara,Transportasi
2024-08-11,1868757,karaoke,Belanja & Hiburan
2024-08-11,1547075,keperluan mendadak,Lain-lain
2024-08-12,1772588,freelancer,Bisnis & Profesional
2024-08-12,716255,lazismu,Donasi & Hadiah
2024-08-12,472717,rendang,Makanan & Minuman
2024-08-13,577386,denda telat,Utang & Cicilan
2024-08-13,147976,kaca spion,Transportasi
2024-08-13,487198,kontrak kerja,Bisnis & Profesional
2024-08-13,898830,langganan internet,Perumahan & Akomodasi
2024-08-13,198946,cash advance,Utang & Cicilan
2024-08-13,1523362,kontrak rumah,Perumahan & Akomodasi
2024-08-14,1337538,supplier,Bisnis & Profesional
2024-08-14,1007820,USG,Kesehatan & Kebugaran
2024-08-14,39015,beragam,Lain-lain
2024-08-14,825267,cicilan elektronik,Utang & Cicilan
2024-08-14,223334,komisi,Bisnis & Profesional
2024-08-14,1426229,facebook ads,Bisnis & Profesional
2024-08-14,412531,donasi yatim piatu,Donasi & Hadiah
2024-08-14,1348935,cargo,Lain-lain
2024-08-14,1417715,beli tiket kereta,Transportasi
2024-08-15,1956341,cash advance,Utang & Cicilan
2024-08-15,1732368,transjakarta,Transportasi
2024-08-15,749780,beli nasi,Makanan & Minuman
2024-08-15,1282226,workshop,Pendidikan
2024-08-15,118556,hadiah baby shower,Donasi & Hadiah
2024-08-15,1098605,bantuan tsunami,Donasi & Hadiah
2024-08-15,24269,karpet lantai,Perumahan & Akomodasi
2024-08-16,1424141,parkir mobil,Transportasi
2024-08-16,845800,penginapan,Travel & Liburan
2024-08-16,745080,gopro,Travel & Liburan
2024-08-17,1777876,meja makan,Perumahan & Akomodasi
2024-08-17,1093630,konsultan,Bisnis & Profesional
2024-08-17,1182069,fotokopi,Lain-lain
2024-08-17,546175,balancing,Transportasi
2024-08-17,404600,kebutuhan dadakan,Lain-lain
2024-08-17,140616,kitabisa,Donasi & Hadiah
2024-08-18,1910076,website,Bisnis & Profesional
2024-08-18,1991130,vacuum cleaner,Perumahan & Akomodasi
2024-08-18,1881795,keyboard,Pendidikan
2024-08-18,1483284,aksesoris,Belanja & Hiburan
2024-08-18,159579,oli mesin,Transportasi
2024-08-18,115239,cargo,Lain-lain
2024-08-18,774761,bus kota,Transportasi
2024-08-19,949797,kamera,Travel & Liburan
2024-08-19,1419332,workshop bisnis,Bisnis & Profesional
2024-08-19,1614422,tabungan rumah,Tabungan & Investasi
2024-08-19,115081,facebook ads,Bisnis & Profesional
2024-08-19,1375983,berlangganan streaming,Belanja & Hiburan
2024-08-20,638901,jilid skripsi,Pendidikan
2024-08-20,650646,setrika baju,Perumahan & Akomodasi
2024-08-20,1786484,fotokopi,Lain-lain
2024-08-20,1206455,rumah investasi,Tabungan & Investasi
2024-08-20,474962,sapu dan pel,Perumahan & Akomodasi
2024-08-21,1389189,periksa dokter,Kesehatan & Kebugaran
2024-08-21,1740223,MLM,Tabungan & Investasi
2024-08-21,1228737,lain-lain,Lain-lain
2024-08-21,1564701,boarding pass,Transportasi
2024-08-21,1601791,crypto,Tabungan & Investasi
2024-08-21,871982,bensin motor,Transportasi
2024-08-21,407341,tiket gunung,Travel & Liburan
2024-08-22,1807786,bayar listrik,Perumahan & Akomodasi
2024-08-22,1691293,bayar cleaning service,Perumahan & Akomodasi
2024-08-22,420794,vacuum cleaner,Perumahan & Akomodasi
2024-08-22,1804191,snorkeling,Belanja & Hiburan
2024-08-23,20080,hadiah imlek,Donasi & Hadiah
2024-08-23,1752670,souvenir,Travel & Liburan
2024-08-23,730949,sunscreen,Kesehatan & Kebugaran
2024-08-23,282271,dana darurat,Tabungan & Investasi
2024-08-23,215299,kredit konsumtif,Utang & Cicilan
2024-08-23,1802204,dispenser air,Perumahan & Akomodasi
2024-08-23,451983,oto finance,Utang & Cicilan
2024-08-24,24171,sewa rumah,Perumahan & Akomodasi
2024-08-24,402327,kamera,Travel & Liburan
2024-08-24,489258,hadiah imlek,Donasi & Hadiah
2024-08-24,898545,facial,Kesehatan & Kebugaran
2024-08-25,1474782,powerbank,Travel & Liburan
2024-08-25,709385,family trip,Travel & Liburan
2024-08-26,1658905,fotokopi,Pendidikan
2024-08-26,524793,parkir mobil,Transportasi
2024-08-26,1547370,bayar listrik,Perumahan & Akomodasi
2024-08-26,1482714,makanan tradisional,Travel & Liburan
2024-08-27,673789,cicilan kecil,Lain-lain
2024-08-27,1480761,obligasi,Tabungan & Investasi
2024-08-27,1000286,dana darurat,Tabungan & Investasi
2024-08-27,601714,correction pen,Pendidikan
2024-08-28,1979670,crypto,Tabungan & Investasi
2024-08-28,1413516,makan siang,Makanan & Minuman
2024-08-28,1304218,ganti kunci,Perumahan & Akomodasi
2024-08-28,1247628,designer,Bisnis & Profesional
2024-08-28,1415973,cicilan sofa,Utang & Cicilan
2024-08-29,764484,lawyer,Bisnis & Profesional
2024-08-29,696274,asuransi kredit,Utang & Cicilan
2024-08-29,252935,ayam goreng,Makanan & Minuman
2024-08-29,1800809,charger portable,Travel & Liburan
2024-08-29,685554,izin usaha,Bisnis & Profesional
2024-08-29,1707662,tiket gunung,Travel & Liburan
2024-08-29,1681404,kredit investasi,Utang & Cicilan
2024-08-29,1116907,rontgen,Kesehatan & Kebugaran
2024-08-29,1807327,topi,Belanja & Hiburan
2024-08-30,1853463,metro mini,Transportasi
2024-08-30,1695745,donasi gereja,Donasi & Hadiah
2024-08-30,1290730,arcade games,Belanja & Hiburan
2024-08-30,1829283,es krim,Lain-lain
2024-08-30,21496,cicilan furniture,Utang & Cicilan
2024-08-30,1582876,leasing motor,Utang & Cicilan
2024-08-30,1304325,handuk mandi,Perumahan & Akomodasi
2024-08-31,38095,donasi gereja,Donasi & Hadiah
2024-08-31,828975,bayar air,Perumahan & Akomodasi
2024-09-01,1900771,arcade games,Belanja & Hiburan
2024-09-01,185801,teh botol,Makanan & Minuman
2024-09-01,335185,modal usaha,Bisnis & Profesional
2024-09-01,1385532,seminar,Pendidikan
2024-09-01,1455544,balancing,Transportasi
2024-09-01,38407,distributor,Bisnis & Profesional
2024-09-01,1697970,top up,Utang & Cicilan
2024-09-01,38635,konsultasi dokter,Kesehatan & Kebugaran
2024-09-02,162422,klakson,Transportasi
2024-09-02,656690,macam-macam,Lain-lain
2024-09-02,1409743,biaya gym,Kesehatan & Kebugaran
2024-09-02,840654,webinar,Pendidikan
2024-09-03,1359556,keperluan rumah,Lain-lain
2024-09-03,397825,donasi lingkungan,Donasi & Hadiah
2024-09-03,1322550,print,Lain-lain
2024-09-03,1803394,spa treatment,Kesehatan & Kebugaran
2024-09-03,1424845,bantuan tsunami,Donasi & Hadiah
2024-09-03,1716874,mini golf,Belanja & Hiburan
2024-09-03,852455,mie ayam,Makanan & Minuman
2024-09-03,1931459,tunjangan,Bisnis & Profesional
2024-09-03,1610432,asuransi motor,Transportasi
2024-09-03,639786,tabungan haji,Tabungan & Investasi
2024-09-04,615841,beragam,Lain-lain
2024-09-04,485683,topi,Belanja & Hiburan
2024-09-05,1788194,beli furniture,Perumahan & Akomodasi
2024-09-05,360641,volunteer,Donasi & Hadiah
2024-09-05,1245865,cicilan elektronik,Utang & Cicilan
2024-09-06,1224610,camping equipment,Belanja & Hiburan
2024-09-06,1862363,nasi padang,Makanan & Minuman
2024-09-06,1207688,jajan pasar,Makanan & Minuman
2024-09-06,1016612,tour package,Travel & Liburan
2024-09-06,1584685,obat flu,Kesehatan & Kebugaran
2024-09-07,800775,ban motor,Transportasi
2024-09-07,1304743,tiket gunung,Travel & Liburan
2024-09-07,1608730,beli es krim,Makanan & Minuman
2024-09-08,1377812,adira finance,Utang & Cicilan
2024-09-08,1960379,isi bensin,Transportasi
2024-09-08,1051251,konten kreator,Bisnis & Profesional
2024-09-08,889415,kaca spion,Transportasi
2024-09-08,721449,freelancer,Bisnis & Profesional
2024-09-08,50072,transjakarta,Transportasi
2024-09-09,88344,kitabisa,Donasi & Hadiah
2024-09-09,630998,main futsal,Belanja & Hiburan
2024-09-09,177046,miscellaneous,Lain-lain
2024-09-09,1044773,meterai,Lain-lain
2024-09-09,563381,yoga class,Kesehatan & Kebugaran
2024-09-10,948157,beli sepatu,Belanja & Hiburan
2024-09-10,1088077,kasur baru,Perumahan & Akomodasi
2024-09-11,809413,air mineral,Makanan & Minuman
2024-09-11,659504,body scrub,Kesehatan & Kebugaran
2024-09-11,724027,tiket teater,Belanja & Hiburan
2024-09-11,523336,BPJS,Tabungan & Investasi
2024-09-11,624669,charger portable,Travel & Liburan
2024-09-11,1301777,laptop,Pendidikan
2024-09-12,1699545,setrika baju,Perumahan & Akomodasi
2024-09-12,746717,marketing,Bisnis & Profesional
2024-09-12,218715,vacuum cleaner,Perumahan & Akomodasi
2024-09-12,1671913,franchise fee,Bisnis & Profesional
2024-09-12,822308,steam motor,Transportasi
2024-09-12,613309,backpacker,Travel & Liburan
2024-09-13,485089,makan di restoran,Makanan & Minuman
2024-09-13,422788,refinancing,Utang & Cicilan
2024-09-13,1516896,networking,Bisnis & Profesional
2024-09-13,1391338,service motor,Transportasi
2024-09-13,1453282,beli tiket kereta,Transportasi
2024-09-13,1526670,langganan internet,Perumahan & Akomodasi
2024-09-13,795794,snack kecil,Lain-lain
2024-09-13,1885122,cicilan mobil,Utang & Cicilan
2024-09-13,489068,cicilan sofa,Utang & Cicilan
2024-09-13,834127,moisturizer,Kesehatan & Kebugaran
2024-09-14,1827110,shampoo,Kesehatan & Kebugaran
2024-09-14,1577318,fax,Lain-lain
2024-09-14,504283,pinjaman online,Utang & Cicilan
2024-09-15,1672102,spidol,Pendidikan
2024-09-15,1856998,royalty,Bisnis & Profesional
2024-09-15,1881768,sepatu gunung,Travel & Liburan
2024-09-16,1048600,minyak goreng,Makanan & Minuman
2024-09-16,637597,snack minimarket,Makanan & Minuman
2024-09-16,653583,kamera,Travel & Liburan
2024-09-16,1233024,penggaris,Pendidikan
2024-09-17,206959,WOM finance,Utang & Cicilan
2024-09-17,943475,laptop,Pendidikan
2024-09-18,1890147,modal usaha,Bisnis & Profesional
2024-09-18,1445368,fotokopi,Pendidikan
2024-09-18,982967,beli nasi,Makanan & Minuman
2024-09-19,1268322,obat sakit kepala,Kesehatan & Kebugaran
2024-09-19,453762,keperluan rumah,Lain-lain
2024-09-19,105972,bayar kos,Perumahan & Akomodasi
2024-09-19,962876,facebook ads,Bisnis & Profesional
2024-09-19,56811,peralatan hiking,Travel & Liburan
2024-09-19,467889,cemilan anak,Makanan & Minuman
2024-09-19,1201398,berlangganan streaming,Belanja & Hiburan
2024-09-19,266550,makan di restoran,Makanan & Minuman
2024-09-20,34536,berbagai hal,Lain-lain
2024-09-20,868525,beli buku pelajaran,Pendidikan
2024-09-20,1271305,beli es krim,Makanan & Minuman
2024-09-20,1887216,trademark,Bisnis & Profesional
2024-09-21,187509,seminar,Pendidikan
2024-09-21,194565,fax,Lain-lain
2024-09-21,951079,dana darurat,Tabungan & Investasi
2024-09-21,1311613,tas travel,Travel & Liburan
2024-09-21,1159914,camping equipment,Belanja & Hiburan
2024-09-21,1528600,spa treatment,Kesehatan & Kebugaran
2024-09-22,586564,conditioner,Kesehatan & Kebugaran
2024-09-22,271192,kereta bandara,Transportasi
2024-09-22,819271,asuransi jiwa,Tabungan & Investasi
2024-09-22,556234,klakson,Transportasi
2024-09-22,127705,tune up,Transportasi
2024-09-22,1082024,nasi padang,Makanan & Minuman
2024-09-23,977576,donasi kesehatan,Donasi & Hadiah
2024-09-23,784935,moisturizer,Kesehatan & Kebugaran
2024-09-23,776584,parkir motor,Transportasi
2024-09-24,1457841,lawyer,Bisnis & Profesional
2024-09-24,1219550,makanan tradisional,Travel & Liburan
2024-09-24,721823,bayar gas,Perumahan & Akomodasi
2024-09-24,30921,freelancer,Bisnis & Profesional
2024-09-24,1189199,charger portable,Travel & Liburan
2024-09-24,577550,snack kecil,Lain-lain
2024-09-24,596072,daging ayam,Makanan & Minuman
2024-09-25,1729734,bantuan tsunami,Donasi & Hadiah
2024-09-25,1111698,copyright,Bisnis & Profesional
2024-09-25,181813,hadiah valentine,Donasi & Hadiah
2024-09-25,1830104,kaca spion,Transportasi
2024-09-25,109402,macam-macam,Lain-lain
2024-09-25,717648,berbagai hal,Lain-lain
2024-09-26,903490,tagihan kecil,Lain-lain
2024-09-26,925796,workshop,Pendidikan
2024-09-26,797299,mandiri finance,Utang & Cicilan
2024-09-27,531639,travel insurance,Travel & Liburan
2024-09-27,334372,distributor,Bisnis & Profesional
2024-09-27,1391601,bonus,Bisnis & Profesional
2024-09-27,1606923,uang parkir,Lain-lain
2024-09-27,408207,program sosial,Donasi & Hadiah
2024-09-27,1229707,angkot,Transportasi
2024-09-27,723633,asuransi motor,Transportasi
2024-09-27,918887,sleeping bag,Travel & Liburan
2024-09-28,1567355,uber,Transportasi
2024-09-28,1852306,taxi bandara,Transportasi
2024-09-28,1256100,pesan makanan online,Makanan & Minuman
2024-09-28,1457706,software,Pendidikan
2024-09-28,1613429,google ads,Bisnis & Profesional
2024-09-28,335543,iuran RT,Perumahan & Akomodasi
2024-09-28,628694,konten kreator,Bisnis & Profesional
2024-09-28,817703,insektisida,Perumahan & Akomodasi
2024-09-28,150539,oli mesin,Transportasi
2024-09-28,1207760,daging ayam,Makanan & Minuman
2024-09-28,447642,jilid skripsi,Pendidikan
2024-09-29,130070,bus kota,Transportasi
2024-09-29,1544939,penginapan,Travel & Liburan
2024-09-29,1902120,porter bandara,Transportasi
2024-09-29,806266,escape room,Belanja & Hiburan
2024-09-29,761324,materai,Pendidikan
2024-09-29,1592358,cicilan kitchen set,Utang & Cicilan
2024-09-30,238941,konsultan,Bisnis & Profesional
2024-09-30,578089,beli pizza,Makanan & Minuman
2024-09-30,300441,biaya admin,Utang & Cicilan
2024-09-30,1714558,backpacking,Travel & Liburan
2024-09-30,1438173,tiket pesawat,Transportasi
2024-09-30,1289216,crowdfunding sosial,Donasi & Hadiah
2024-10-01,1747169,penghapus,Pendidikan
2024-10-01,1497495,bis damri,Transportasi
2024-10-01,713323,stabilo,Pendidikan
2024-10-01,786445,pengeluaran lain,Lain-lain
2024-10-02,1622806,campur-campur,Lain-lain
2024-10-02,321943,sedekah,Donasi & Hadiah
2024-10-02,1794881,ETF,Tabungan & Investasi
2024-10-02,17174,dompet dhuafa,Donasi & Hadiah
2024-10-02,1358860,kontrak kerja,Bisnis & Profesional
2024-10-03,1173008,kontrak kerja,Bisnis & Profesional
2024-10-03,1629540,relawan,Donasi & Hadiah
2024-10-03,188075,maintenance fee,Perumahan & Akomodasi
2024-10-03,1474529,kitabisa,Donasi & Hadiah
2024-10-03,1561855,tanah,Tabungan & Investasi
2024-10-03,1142568,biaya admin,Lain-lain
2024-10-03,235666,insektisida,Perumahan & Akomodasi
2024-10-04,1440351,snack minimarket,Makanan & Minuman
2024-10-04,760434,fee,Bisnis & Profesional
2024-10-04,869092,travel adapter,Travel & Liburan
2024-10-05,446722,renang,Belanja & Hiburan
2024-10-05,1877813,stapler,Pendidikan
2024-10-05,1040563,oleh-oleh,Travel & Liburan
2024-10-05,1296168,parkir mobil,Transportasi
2024-10-05,288356,travel adapter,Travel & Liburan
2024-10-05,1563030,hiking gear,Belanja & Hiburan
2024-10-06,1921899,rental motor,Transportasi
2024-10-06,698494,rontgen,Kesehatan & Kebugaran
2024-10-06,483440,cicilan sofa,Utang & Cicilan
2024-10-06,565123,spidol,Pendidikan
2024-10-06,1170626,mutual fund,Tabungan & Investasi
2024-10-06,1339306,materai,Pendidikan
2024-10-06,751790,notaris,Bisnis & Profesional
2024-10-06,1233254,dompet dhuafa,Donasi & Hadiah
2024-10-06,381576,beli emas,Tabungan & Investasi
2024-10-06,578878,gojek,Transportasi
2024-10-07,1165477,beli kopi,Makanan & Minuman
2024-10-07,1207668,netflix,Belanja & Hiburan
2024-10-07,1218478,belanja iseng,Lain-lain
2024-10-07,228915,transjakarta,Transportasi
2024-10-08,640069,cuci motor,Transportasi
2024-10-08,40950,peralatan hiking,Travel & Liburan
2024-10-08,610385,masker wajah,Kesehatan & Kebugaran
2024-10-08,1790905,dana darurat,Tabungan & Investasi
2024-10-08,872713,keyboard,Pendidikan
2024-10-08,294124,sikat gigi,Kesehatan & Kebugaran
2024-10-08,938480,honorarium,Bisnis & Profesional
2024-10-09,1088445,tiket pesawat,Travel & Liburan
2024-10-09,1171694,visa,Travel & Liburan
2024-10-10,704518,makan siang,Makanan & Minuman
2024-10-10,1260966,kartu kredit,Utang & Cicilan
2024-10-10,67215,lemari pakaian,Perumahan & Akomodasi
2024-10-11,1469104,minum jus,Makanan & Minuman
2024-10-11,958565,uang parkir,Lain-lain
2024-10-11,472049,bubble tea,Makanan & Minuman
2024-10-11,180299,periksa dokter,Kesehatan & Kebugaran
2024-10-11,743623,bantuan korban banjir,Donasi & Hadiah
2024-10-11,946330,tabungan liburan,Tabungan & Investasi
2024-10-11,1655397,course online,Pendidikan
2024-10-12,454287,copyright,Bisnis & Profesional
2024-10-12,59344,rontgen,Kesehatan & Kebugaran
2024-10-12,1215786,miscellaneous,Lain-lain
2024-10-12,1763453,angkot,Transportasi
2024-10-12,778807,tunjangan,Bisnis & Profesional
